date,time,member,type,item,amount,category,tag
2024-07-27,12:57,Dad,expense,Mobile recharge,980,Utilities & Recharges,recurring
2024-07-27,12:57,Dad,expense,Internet recharge,825,Utilities & Recharges,recurring
2024-07-27,13:50,Dad,expense,Mobile recharge,489,Utilities & Recharges,recurring
2024-07-27,19:39,Mom,expense,Saree PSR Silks,2760,Clothing,lifestyle
2024-07-27,19:39,Mom,expense,Matching petticoat,620,Clothing,lifestyle
2024-07-27,21:28,Dad,expense,Papu toys,2500,Kids,lifestyle
2024-07-27,21:28,Dad,expense,Bakery,358,Dining Out,lifestyle
2024-07-27,21:29,Dad,expense,More store surf etc,750,Groceries & Household,lifestyle
2024-07-27,21:47,Dad,expense,MetPlus pampers,750,Kids,recurring
2024-07-29,19:09,Dad,expense,Balloon + drawing board + sketch pens,350,Kids,lifestyle
2024-07-29,19:09,Dad,expense,Banana,140,Groceries & Household,lifestyle
2024-07-29,19:09,Dad,expense,Car petrol,1000,Fuel,lifestyle
2024-08-01,19:43,Dad,expense,Westside shopping,7044,Clothing,lifestyle
2024-08-01,21:11,Mom,expense,Tarakari vegetables,400,Groceries & Household,lifestyle
2024-08-03,13:41,Dad,expense,Marker pens + ink,200,Kids,lifestyle
2024-08-03,13:41,Dad,expense,Plumbing items,100,Home & Furniture,one_time
2024-08-06,13:19,Dad,expense,Petrol,1000,Fuel,lifestyle
2024-08-08,14:46,Dad,expense,Aradhana doctor consultation,300,Health & Medical,lifestyle
2024-08-08,14:47,Dad,expense,Aradhana X-ray,500,Health & Medical,lifestyle
2024-08-08,14:47,Dad,expense,Aradhana medicine,420,Health & Medical,lifestyle
2024-08-09,09:54,Dad,expense,Traffic police fine,1000,Misc,one_time
2024-08-09,09:54,Dad,expense,Bike petrol,500,Fuel,lifestyle
2024-08-12,20:53,Dad,expense,Petrol,1100,Fuel,lifestyle
2024-08-12,20:53,Dad,expense,Physiotherapy,400,Health & Medical,lifestyle
2024-08-13,13:27,Dad,expense,Tyre puncture,70,Vehicle Maintenance,one_time
2024-08-13,19:50,Dad,expense,Office snacks,200,Misc,lifestyle
2024-08-13,19:50,Dad,expense,Pen,40,Misc,lifestyle
2024-08-14,11:45,Dad,expense,Bike battery,2300,Vehicle Maintenance,one_time
2024-08-15,17:51,Dad,expense,Ramu tailor,1200,Clothing,lifestyle
2024-08-17,13:53,Dad,expense,Papu dress,600,Kids,lifestyle
2024-08-17,13:53,Dad,expense,Office pooja tindi,1800,Misc,lifestyle
2024-08-18,22:17,Dad,expense,Fruits,520,Groceries & Household,lifestyle
2024-08-18,22:17,Dad,expense,Hoovu flowers,100,Religion & Gifts,recurring
2024-08-18,22:17,Dad,expense,Kayakanchi offering,2000,Religion & Gifts,one_time
2024-08-18,22:17,Dad,expense,Petrol,800,Fuel,lifestyle
2024-08-18,22:17,Dad,expense,Chappal,1150,Clothing,lifestyle
2024-08-18,22:17,Dad,expense,Train ride + car ride + parking,220,Transport & Parking,lifestyle
2024-08-18,22:17,Dad,expense,Udupi restaurant,150,Dining Out,lifestyle
2024-08-18,22:17,Dad,expense,MedPlus pharmacy,980,Health & Medical,lifestyle
2024-08-21,10:19,Dad,expense,Petrol,1000,Fuel,lifestyle
2024-08-21,10:20,Dad,expense,Papu dress,2100,Kids,lifestyle
2024-08-24,10:42,Dad,expense,Chats,110,Dining Out,lifestyle
2024-08-24,10:42,Dad,expense,Paalak rice,155,Dining Out,lifestyle
2024-08-24,10:42,Dad,expense,Petrol,1000,Fuel,lifestyle
2024-08-24,10:42,Dad,expense,Tarakari vegetables,45,Groceries & Household,lifestyle
2024-08-24,10:44,Dad,expense,Hoovu flowers,80,Religion & Gifts,recurring
2024-08-24,10:44,Dad,expense,Bangles + toys,550,Kids,lifestyle
2024-08-24,10:44,Dad,expense,Milk + curd,80,Groceries & Household,recurring
2024-08-26,19:18,Dad,expense,Ganapati vishwaradhya,3000,Religion & Gifts,one_time
2024-08-29,21:58,Dad,expense,Petrol,1000,Fuel,lifestyle
2024-09-02,10:21,Dad,expense,Vinutha movie + mall,1000,Entertainment & Outings,lifestyle
2024-09-03,10:38,Dad,expense,Petrol,1000,Fuel,lifestyle
2024-09-05,18:38,Dad,expense,Haircut,400,Personal Care & Fitness,lifestyle
2024-09-07,14:52,Dad,expense,Mysore hotel booking 4 nights,20718.18,Travel & Trips,lifestyle
2024-09-09,18:14,Dad,expense,Wearable backpack,979,Misc,one_time
2024-09-09,18:55,Dad,expense,Vinutha haircut,1234,Personal Care & Fitness,lifestyle
2024-09-13,07:06,Dad,expense,Tiago petrol,1000,Fuel,lifestyle
2024-09-13,07:06,Dad,expense,Duster petrol,3000,Fuel,lifestyle
2024-09-13,21:39,Dad,expense,Mysore tea + biscuits,40,Travel & Trips,lifestyle
2024-09-13,21:39,Dad,expense,Mysore Ahaar Vedh hotel,380,Travel & Trips,lifestyle
2024-09-13,21:39,Dad,expense,Mysore Lokaranjan tickets,600,Travel & Trips,lifestyle
2024-09-13,21:39,Dad,expense,Mysore Lokaranjan photos,500,Travel & Trips,lifestyle
2024-09-13,21:39,Dad,expense,Mysore Lokaranjan parking,70,Travel & Trips,lifestyle
2024-09-13,21:39,Dad,expense,Mysore Indian Curry lunch + paan + banana,1350,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore tonga,200,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore wood art items,220,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore auto,30,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore GRS water park,1950,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore GRS up-down + snow park,1612,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore GRS snacks,155,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore GRS oota,520,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore locker,100,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore coffee,80,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore ball,200,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore cap,200,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore mobile pouch,200,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore doll games,150,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore peanuts,20,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore panipuri,60,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore parking,30,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore banana,100,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore oota,430,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,expense,Mysore vim,20,Travel & Trips,lifestyle
2024-09-16,07:02,Dad,expense,Mysore zoo,200,Travel & Trips,lifestyle
2024-09-16,07:02,Dad,expense,Mysore auto,60,Travel & Trips,lifestyle
2024-09-16,07:02,Dad,expense,Mysore ball,150,Travel & Trips,lifestyle
2024-09-16,07:02,Dad,expense,Girish Anna muyyi gift,1000,Religion & Gifts,one_time
2024-09-16,07:02,Dad,expense,Mysore masala mandakki,100,Travel & Trips,lifestyle
2024-09-16,07:02,Dad,expense,Mysore tonga,800,Travel & Trips,lifestyle
2024-09-16,07:02,Dad,expense,Mysore oota,300,Travel & Trips,lifestyle
2024-09-16,07:02,Dad,expense,Petrol,1400,Fuel,lifestyle
2024-09-16,21:49,Dad,expense,Mysore car parking,40,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,expense,Mysore Chamundeshwari ticket,100,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,expense,Mysore chappal stand,10,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,expense,Mysore Nanjangud temple ticket,300,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,expense,Mysore kanike,800,Religion & Gifts,one_time
2024-09-16,21:49,Dad,expense,Mysore toys,70,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,expense,Mysore parking,30,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,expense,Mysore hotel,350,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,expense,Mysore ice cream,420,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,expense,Mysore viewpoint,80,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,expense,Mysore kanike,200,Religion & Gifts,one_time
2024-09-16,21:49,Dad,expense,Mysore masala mandakki,50,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,expense,Mysore car parking,40,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,expense,Mysore kanike,450,Religion & Gifts,one_time
2024-09-16,21:49,Dad,expense,Mysore chappal,10,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,expense,Mysore art palace,100,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,expense,Mysore oota,255,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,expense,Petrol,1000,Fuel,lifestyle
2024-09-17,19:18,Dad,expense,Mysore checkout charges,717,Travel & Trips,lifestyle
2024-09-17,19:18,Dad,expense,Mysore tips,150,Travel & Trips,lifestyle
2024-09-17,19:18,Dad,expense,Mysore car parking,50,Travel & Trips,lifestyle
2024-09-17,19:18,Dad,expense,Mysore palace entry,200,Travel & Trips,lifestyle
2024-09-17,19:18,Dad,expense,Mysore majjige,60,Travel & Trips,lifestyle
2024-09-17,19:18,Dad,expense,Mysore elephant + horse ride,1000,Travel & Trips,lifestyle
2024-09-17,19:18,Dad,expense,Petrol,1600,Fuel,lifestyle
2024-09-17,19:18,Dad,expense,Mysore coffee + milk,60,Travel & Trips,lifestyle
2024-09-17,19:18,Dad,expense,Petrol,500,Fuel,lifestyle
2024-09-18,21:41,Dad,expense,Slide for Papu,1460,Kids,one_time
2024-09-23,18:13,Dad,expense,Bike petrol,900,Fuel,lifestyle
2024-09-23,18:13,Dad,expense,Dry fruits,580,Groceries & Household,lifestyle
2024-09-25,13:59,Dad,expense,Car insurance + emission test,4100,Insurance & Finance,recurring
2024-09-25,14:35,Dad,expense,Petrol,1000,Fuel,lifestyle
2024-09-27,17:05,Dad,expense,Internet recharge,825,Utilities & Recharges,recurring
2024-09-27,17:05,Dad,expense,Wheel alignment,300,Vehicle Maintenance,one_time
2024-10-03,19:27,Dad,expense,Iron laundry,230,Misc,recurring
2024-10-03,19:27,Dad,expense,Hotel,400,Dining Out,lifestyle
2024-10-03,19:27,Dad,expense,Bubbles toy,40,Kids,lifestyle
2024-10-04,17:21,Dad,expense,15 inch LCD tablet,700,Kids,one_time
2024-10-06,19:30,Dad,expense,Hoovu flowers,40,Religion & Gifts,recurring
2024-10-06,19:30,Dad,expense,Kanike offering,100,Religion & Gifts,one_time
2024-10-06,19:30,Dad,expense,Snacks,290,Dining Out,lifestyle
2024-10-07,18:38,Dad,expense,Petrol,1000,Fuel,lifestyle
2024-10-08,12:43,Dad,expense,Papu consultation + medicine,805,Health & Medical,lifestyle
2024-10-08,13:07,Dad,expense,Juice,50,Dining Out,lifestyle
2024-10-12,14:40,Dad,expense,Mobile recharge,800,Utilities & Recharges,recurring
2024-10-20,20:44,Dad,expense,KrushiMela two toy guns,180,Kids,lifestyle
2024-10-21,20:37,Dad,expense,Petrol,1000,Fuel,lifestyle
2024-10-22,15:01,Dad,expense,Bike petrol,1000,Fuel,lifestyle
2024-10-22,15:01,Dad,expense,Amazon Fresh groceries,1042,Groceries & Household,lifestyle
2024-10-23,19:11,Dad,expense,Papu consultation + vaccination,5500,Health & Medical,one_time
2024-10-24,09:24,Dad,expense,Haircut,130,Personal Care & Fitness,lifestyle
2024-10-26,13:17,Dad,expense,Sakrebyele outing,360,Entertainment & Outings,lifestyle
2024-10-26,13:17,Dad,expense,Lakme,365,Personal Care & Fitness,lifestyle
2024-10-27,14:26,Dad,expense,Petrol,1000,Fuel,lifestyle
2024-10-28,15:22,Dad,expense,Internet recharge,825,Utilities & Recharges,recurring
2024-10-29,19:01,Dad,expense,MedPlus pharmacy,712,Health & Medical,lifestyle
2024-11-04,11:46,Dad,expense,Hotel tindi,190,Dining Out,lifestyle
2024-11-04,14:10,Dad,expense,Dry fruits,600,Groceries & Household,lifestyle
2024-11-09,12:26,Dad,expense,LPG gas cylinder,816,Utilities & Recharges,recurring
2024-11-11,21:33,Dad,expense,Bike petrol,650,Fuel,lifestyle
2024-11-11,21:33,Dad,expense,Butterfly park ticket,180,Entertainment & Outings,lifestyle
2024-11-11,21:33,Dad,expense,Elephant 3D photo,400,Entertainment & Outings,lifestyle
2024-11-11,21:33,Dad,expense,Hotel,1600,Dining Out,lifestyle
2024-11-12,18:11,Dad,expense,Car petrol,1000,Fuel,lifestyle
2024-11-14,14:25,Dad,expense,Soap + kids books,1100,Kids,lifestyle
2024-11-16,19:03,Dad,expense,Bangarapet chats,130,Dining Out,lifestyle
2024-11-16,19:20,Dad,expense,Vishnu Medicals,250,Health & Medical,lifestyle
2024-11-16,19:20,Dad,expense,Hopcoms,70,Groceries & Household,lifestyle
2024-11-16,19:20,Dad,expense,MedPlus pharmacy,1346,Health & Medical,lifestyle
2024-11-17,22:43,Dad,expense,Chats,350,Dining Out,lifestyle
2024-11-17,22:43,Dad,expense,Lipika dress,1720,Clothing,lifestyle
2024-11-20,19:04,Dad,expense,Doctor fee + file,450,Health & Medical,lifestyle
2024-11-20,19:04,Dad,expense,Blood test,1200,Health & Medical,lifestyle
2024-11-20,19:04,Dad,expense,Medicine,1400,Health & Medical,lifestyle
2024-11-20,19:04,Dad,expense,Injection,600,Health & Medical,lifestyle
2024-11-20,19:04,Dad,expense,Petrol,1050,Fuel,lifestyle
2024-11-20,19:25,Dad,expense,FirstCry bottle + toothbrush,800,Kids,lifestyle
2024-11-23,18:06,Dad,expense,Mobile recharge Shreyas,980,Utilities & Recharges,recurring
2024-11-23,20:40,Dad,expense,Papu batte dress,5950,Kids,lifestyle
2024-11-23,20:41,Dad,expense,Iron laundry,180,Misc,recurring
2024-11-23,20:41,Dad,expense,Fancy store,150,Misc,lifestyle
2024-11-24,13:38,Dad,expense,Duster petrol,1000,Fuel,lifestyle
2024-11-25,19:37,Dad,expense,Floating panipuri,90,Dining Out,lifestyle
2024-11-25,19:37,Dad,expense,Haircut,300,Personal Care & Fitness,lifestyle
2024-11-26,20:00,Dad,expense,Bus tickets,600,Transport & Parking,lifestyle
2024-11-27,13:05,Dad,expense,Anna Dasoha Chinmaya Deeksha,1000,Religion & Gifts,one_time
2024-11-27,14:13,Dad,expense,Duplicate Aadhar + voter card,160,Misc,one_time
2024-11-28,09:50,Dad,expense,Internet charges,825,Utilities & Recharges,recurring
2024-11-30,23:11,Dad,expense,Trip bus tickets,600,Travel & Trips,lifestyle
2024-11-30,23:11,Dad,expense,Trip auto,470,Travel & Trips,lifestyle
2024-11-30,23:11,Dad,expense,Trip food + snacks,2010,Travel & Trips,lifestyle
2024-11-30,23:11,Dad,expense,Trip accommodation,400,Travel & Trips,lifestyle
2024-11-30,23:11,Dad,expense,Trip beach sea walk,300,Travel & Trips,lifestyle
2024-11-30,23:11,Dad,expense,Trip Papu glitter ball,160,Travel & Trips,lifestyle
2024-11-30,23:11,Dad,expense,Vinutha surprise gift,5350,Religion & Gifts,one_time
2024-11-30,23:13,Dad,expense,ICICI term insurance,3026,Insurance & Finance,recurring
2024-11-30,23:13,Dad,expense,Papu ICLUD brand dress,5951,Kids,lifestyle
2024-12-01,10:51,Dad,expense,Petrol,1050,Fuel,lifestyle
2024-12-03,12:07,Dad,expense,Petrol,1050,Fuel,lifestyle
2024-12-04,18:06,Dad,expense,Bike petrol,500,Fuel,lifestyle
2024-12-04,19:26,Dad,expense,Cells + chakli,125,Groceries & Household,lifestyle
2024-12-05,13:27,Dad,expense,Louis Philippe clothes + socks,1750,Clothing,lifestyle
2024-12-05,15:04,Dad,expense,Mandakki + bakery,235,Dining Out,lifestyle
2024-12-05,15:15,Mom,expense,MedPlus pampers,100,Kids,recurring
2024-12-05,23:12,Mom,expense,Aurora cosmetics,682,Personal Care & Fitness,lifestyle
2024-12-09,22:02,Dad,expense,Pizza + hotel,1800,Dining Out,lifestyle
2024-12-11,18:10,Dad,expense,Car petrol,1000,Fuel,lifestyle
2024-12-11,18:15,Dad,expense,Kotak term insurance annual,16301,Insurance & Finance,recurring
2024-12-13,16:42,Dad,expense,Moon ball,85,Kids,lifestyle
2024-12-17,11:21,Dad,expense,Tiago 2 new tyres + balancing + valves,11350,Vehicle Maintenance,one_time
2024-12-17,12:31,Dad,expense,Tiago window switch repair,250,Vehicle Maintenance,one_time
2024-12-17,12:31,Dad,expense,Petrol,1050,Fuel,lifestyle
2024-12-19,11:36,Dad,expense,Funpunch boxing bag,1600,Personal Care & Fitness,one_time
2024-12-20,09:52,Dad,expense,Petrol,450,Fuel,lifestyle
2024-12-25,12:38,Dad,expense,Petrol,1750,Fuel,lifestyle
2024-12-25,12:38,Dad,expense,Bakery,440,Dining Out,lifestyle
2024-12-29,19:59,Dad,expense,Haircut,130,Personal Care & Fitness,lifestyle
2024-12-29,19:59,Dad,expense,Snacks,80,Dining Out,lifestyle
2024-12-31,11:48,Dad,expense,Internet,825,Utilities & Recharges,recurring
2024-12-31,11:49,Dad,expense,ICICI term insurance,3026,Insurance & Finance,recurring
2025-01-01,08:35,Dad,expense,Car petrol,1050,Fuel,lifestyle
2025-01-01,10:59,Dad,expense,Toy car + books,830,Kids,lifestyle
2025-01-02,16:34,Dad,expense,TV,26000,Home & Furniture,one_time
2025-01-03,16:32,Dad,expense,Shankar Eye Hospital consultation,600,Health & Medical,lifestyle
2025-01-03,16:32,Dad,expense,Bakery,95,Dining Out,lifestyle
2025-01-03,17:54,Mom,expense,Medicine,517,Health & Medical,lifestyle
2025-01-03,17:54,Mom,expense,Soap,40,Groceries & Household,lifestyle
2025-01-05,20:44,Dad,expense,Vinutha mobile recharge,200,Utilities & Recharges,recurring
2025-01-08,16:54,Dad,expense,MedPlus pharmacy,1370,Health & Medical,lifestyle
2025-01-08,16:54,Dad,expense,Tarakari vegetables,70,Groceries & Household,lifestyle
2025-01-08,17:51,Dad,expense,New specs + Crizal lens + accessories,8000,Health & Medical,one_time
2025-01-11,00:05,Mom,expense,Doctor consultation,300,Health & Medical,lifestyle
2025-01-11,00:05,Mom,expense,Medicine,210,Health & Medical,lifestyle
2025-01-11,00:05,Mom,expense,Iron laundry,216,Misc,recurring
2025-01-13,22:03,Dad,expense,Degree certificate fee,200,Misc,one_time
2025-01-13,22:03,Dad,expense,Canteen,90,Dining Out,lifestyle
2025-01-13,22:03,Dad,expense,Petrol,500,Fuel,lifestyle
2025-01-16,17:20,Dad,expense,Bakery,145,Dining Out,lifestyle
2025-01-16,17:20,Dad,expense,Tomato,30,Groceries & Household,lifestyle
2025-01-16,17:20,Dad,expense,Beach ball,195,Kids,lifestyle
2025-01-16,17:20,Dad,expense,Nail cutter,75,Personal Care & Fitness,lifestyle
2025-01-16,17:57,Dad,expense,Papu chappal,400,Kids,lifestyle
2025-01-21,11:46,Dad,expense,Bike petrol,660,Fuel,lifestyle
2025-01-21,23:35,Dad,expense,Movie,300,Entertainment & Outings,lifestyle
2025-01-21,23:35,Dad,expense,Popcorn,210,Dining Out,lifestyle
2025-01-21,23:35,Dad,expense,Parking,30,Transport & Parking,lifestyle
2025-01-23,09:37,Dad,expense,Car petrol,1050,Fuel,lifestyle
2025-01-29,20:34,Dad,expense,Jewel Rock hotel,400,Dining Out,lifestyle
2025-01-29,20:34,Dad,expense,Vibhu salon,300,Personal Care & Fitness,lifestyle
2025-01-29,20:54,Mom,expense,Pampers,750,Kids,recurring
2025-01-31,16:50,Dad,expense,Sugarcane juice,50,Dining Out,lifestyle
2025-01-31,16:50,Dad,expense,Internet,825,Utilities & Recharges,recurring
2025-02-02,16:22,Dad,expense,Mobile recharge,799,Utilities & Recharges,recurring
2025-02-02,16:23,Dad,expense,Tarakari vegetables,200,Groceries & Household,lifestyle
2025-02-02,16:23,Dad,expense,Hotel,600,Dining Out,lifestyle
2025-02-02,16:23,Dad,expense,Paneer,100,Groceries & Household,lifestyle
2025-02-02,16:23,Dad,expense,Ration,40,Groceries & Household,lifestyle
2025-02-04,15:36,Dad,expense,Bike petrol,550,Fuel,lifestyle
2025-02-04,15:37,Dad,expense,Car petrol,1000,Fuel,lifestyle
2025-02-05,11:42,Dad,expense,UGC NET exam book,360,Education,lifestyle
2025-02-05,11:42,Dad,expense,Graphics tablet,4499,Misc,one_time
2025-02-05,11:42,Dad,expense,USB-C OTG adapter,109,Misc,one_time
2025-02-05,11:42,Dad,expense,Sand play tools,189,Kids,lifestyle
2025-02-05,11:42,Dad,expense,Pencil control book,179,Kids,lifestyle
2025-02-08,11:40,Dad,expense,Watermelon,240,Groceries & Household,lifestyle
2025-02-14,08:32,Mom,expense,Petrol,1050,Fuel,lifestyle
2025-02-14,18:58,Dad,expense,Bike petrol,560,Fuel,lifestyle
2025-02-17,17:37,Dad,expense,Mobile recharge,934,Utilities & Recharges,recurring
2025-02-18,13:46,Dad,expense,Diana pencil + calendar + scissors,125,Kids,lifestyle
2025-02-18,13:46,Dad,expense,Juice,40,Dining Out,lifestyle
2025-02-18,14:28,Dad,expense,Petrol,1020,Fuel,lifestyle
2025-02-18,14:28,Dad,expense,Pampers,622,Kids,recurring
2025-02-18,14:28,Dad,expense,Varna matching,822,Clothing,lifestyle
2025-02-18,14:30,Dad,expense,Latha beauty parlour,70,Personal Care & Fitness,lifestyle
2025-02-18,14:30,Dad,expense,Bat + gloves,165,Kids,lifestyle
2025-02-18,15:39,Mom,expense,Toys,881,Kids,lifestyle
2025-02-18,19:28,Mom,expense,Westside Papu dress,1696,Kids,lifestyle
2025-02-22,18:46,Mom,expense,Banana,140,Groceries & Household,lifestyle
2025-02-22,18:46,Mom,expense,Clock,250,Home & Furniture,one_time
2025-02-22,18:46,Mom,expense,Petrol,1000,Fuel,lifestyle
2025-02-22,18:46,Mom,expense,Snacks,90,Dining Out,lifestyle
2025-02-28,16:47,Dad,expense,Bike petrol,710,Fuel,lifestyle
2025-02-28,16:47,Dad,expense,ICICI term insurance,3026,Insurance & Finance,recurring
2025-02-28,16:47,Dad,expense,Hoovu flowers,60,Religion & Gifts,recurring
2025-02-28,16:47,Dad,expense,Curd,26,Groceries & Household,lifestyle
2025-03-01,00:15,Dad,expense,Hambode khara,200,Dining Out,lifestyle
2025-03-01,00:15,Dad,expense,Ice cream,800,Dining Out,lifestyle
2025-03-01,00:15,Dad,expense,Milk,27,Groceries & Household,recurring
