date,time,member,item,amount,category,tag
2024-06-30,20:48,Dad,Petrol,1000,Fuel,lifestyle
2024-07-01,21:11,Dad,Petrol,1000,Fuel,lifestyle
2024-07-01,21:11,Dad,Masala puri,145,Dining Out,lifestyle
2024-07-04,13:10,Dad,Roundup weedicide,785,Farm & Garden,one_time
2024-07-04,13:10,Dad,Petrol,1000,Fuel,lifestyle
2024-07-05,00:09,Dad,Chips,124,Dining Out,lifestyle
2024-07-05,00:09,Dad,Pampers,410,Kids,recurring
2024-07-05,00:09,Dad,Socks,300,Clothing,lifestyle
2024-07-05,00:09,Dad,Varna matching,372,Clothing,lifestyle
2024-07-05,23:19,Dad,Fish,380,Groceries & Household,lifestyle
2024-07-06,17:51,Dad,Bat,100,Kids,lifestyle
2024-07-06,17:51,Dad,Haircut,300,Personal Care & Fitness,lifestyle
2024-07-07,23:05,Dad,Cable,330,Home & Furniture,one_time
2024-07-16,18:52,Dad,Tiago tyre puncture,600,Vehicle Maintenance,one_time
2024-07-19,19:38,Dad,Snacks,140,Dining Out,lifestyle
2024-07-19,19:38,Dad,Petrol,1000,Fuel,lifestyle
2024-07-21,21:31,Dad,Onion + milk,74,Groceries & Household,lifestyle
2024-07-27,12:57,Dad,Petrol,1000,Fuel,lifestyle
2024-07-27,12:57,Dad,Mobile recharge,980,Utilities & Recharges,recurring
2024-07-27,12:57,Dad,Internet recharge,825,Utilities & Recharges,recurring
2024-07-27,13:50,Dad,Mobile recharge,489,Utilities & Recharges,recurring
2024-07-27,19:39,Mom,Saree PSR Silks,2760,Clothing,lifestyle
2024-07-27,19:39,Mom,Matching petticoat,620,Clothing,lifestyle
2024-07-27,21:28,Dad,Papu toys,2500,Kids,lifestyle
2024-07-27,21:28,Dad,Bakery,358,Dining Out,lifestyle
2024-07-27,21:29,Dad,More store surf etc,750,Groceries & Household,lifestyle
2024-07-27,21:47,Dad,MetPlus pampers,750,Kids,recurring
2024-07-29,19:09,Dad,Balloon + drawing board + sketch pens,350,Kids,lifestyle
2024-07-29,19:09,Dad,Banana,140,Groceries & Household,lifestyle
2024-07-29,19:09,Dad,Car petrol,1000,Fuel,lifestyle
2024-08-01,19:43,Dad,Westside shopping,7044,Clothing,lifestyle
2024-08-01,21:11,Mom,Tarakari vegetables,400,Groceries & Household,lifestyle
2024-08-03,13:41,Dad,Marker pens + ink,200,Kids,lifestyle
2024-08-03,13:41,Dad,Plumbing items,100,Home & Furniture,one_time
2024-08-06,13:19,Dad,Petrol,1000,Fuel,lifestyle
2024-08-08,14:46,Dad,Aradhana doctor consultation,300,Health & Medical,lifestyle
2024-08-08,14:47,Dad,Aradhana X-ray,500,Health & Medical,lifestyle
2024-08-08,14:47,Dad,Aradhana medicine,420,Health & Medical,lifestyle
2024-08-09,09:54,Dad,Traffic police fine,1000,Misc,one_time
2024-08-09,09:54,Dad,Bike petrol,500,Fuel,lifestyle
2024-08-12,20:53,Dad,Petrol,1100,Fuel,lifestyle
2024-08-12,20:53,Dad,Physiotherapy,400,Health & Medical,lifestyle
2024-08-13,13:27,Dad,Tyre puncture,70,Vehicle Maintenance,one_time
2024-08-13,19:50,Dad,Office snacks,200,Misc,lifestyle
2024-08-13,19:50,Dad,Pen,40,Misc,lifestyle
2024-08-14,11:45,Dad,Bike battery,2300,Vehicle Maintenance,one_time
2024-08-15,17:51,Dad,Ramu tailor,1200,Clothing,lifestyle
2024-08-17,13:53,Dad,Papu dress,600,Kids,lifestyle
2024-08-17,13:53,Dad,Office pooja tindi,1800,Misc,lifestyle
2024-08-18,22:17,Dad,Fruits,520,Groceries & Household,lifestyle
2024-08-18,22:17,Dad,Hoovu flowers,100,Religion & Gifts,recurring
2024-08-18,22:17,Dad,Kayakanchi offering,2000,Religion & Gifts,one_time
2024-08-18,22:17,Dad,Petrol,800,Fuel,lifestyle
2024-08-18,22:17,Dad,Chappal,1150,Clothing,lifestyle
2024-08-18,22:17,Dad,Train ride + car ride + parking,220,Transport & Parking,lifestyle
2024-08-18,22:17,Dad,Udupi restaurant,150,Dining Out,lifestyle
2024-08-18,22:17,Dad,MedPlus pharmacy,980,Health & Medical,lifestyle
2024-08-21,10:19,Dad,Petrol,1000,Fuel,lifestyle
2024-08-21,10:20,Dad,Papu dress,2100,Kids,lifestyle
2024-08-24,10:42,Dad,Chats,110,Dining Out,lifestyle
2024-08-24,10:42,Dad,Paalak rice,155,Dining Out,lifestyle
2024-08-24,10:42,Dad,Petrol,1000,Fuel,lifestyle
2024-08-24,10:42,Dad,Tarakari vegetables,45,Groceries & Household,lifestyle
2024-08-24,10:44,Dad,Hoovu flowers,80,Religion & Gifts,recurring
2024-08-24,10:44,Dad,Bangles + toys,550,Kids,lifestyle
2024-08-24,10:44,Dad,Milk + curd,80,Groceries & Household,recurring
2024-08-26,19:18,Dad,Ganapati vishwaradhya,3000,Religion & Gifts,one_time
2024-08-29,21:58,Dad,Petrol,1000,Fuel,lifestyle
2024-09-02,10:21,Dad,Vinutha movie + mall,1000,Entertainment & Outings,lifestyle
2024-09-03,10:38,Dad,Petrol,1000,Fuel,lifestyle
2024-09-05,18:38,Dad,Haircut,400,Personal Care & Fitness,lifestyle
2024-09-07,14:52,Dad,Mysore hotel booking 4 nights,20718.18,Travel & Trips,lifestyle
2024-09-09,18:14,Dad,Wearable backpack,979,Misc,one_time
2024-09-09,18:55,Dad,Vinutha haircut,1234,Personal Care & Fitness,lifestyle
2024-09-13,07:06,Dad,Tiago petrol,1000,Fuel,lifestyle
2024-09-13,07:06,Dad,Duster petrol,3000,Fuel,lifestyle
2024-09-13,21:39,Dad,Mysore tea + biscuits,40,Travel & Trips,lifestyle
2024-09-13,21:39,Dad,Mysore Ahaar Vedh hotel,380,Travel & Trips,lifestyle
2024-09-13,21:39,Dad,Mysore Lokaranjan tickets,600,Travel & Trips,lifestyle
2024-09-13,21:39,Dad,Mysore Lokaranjan photos,500,Travel & Trips,lifestyle
2024-09-13,21:39,Dad,Mysore Lokaranjan parking,70,Travel & Trips,lifestyle
2024-09-13,21:39,Dad,Mysore Indian Curry lunch + paan + banana,1350,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore tonga,200,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore wood art items,220,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore auto,30,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore GRS water park,1950,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore GRS up-down + snow park,1612,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore GRS snacks,155,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore GRS oota,520,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore locker,100,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore coffee,80,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore ball,200,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore cap,200,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore mobile pouch,200,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore doll games,150,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore peanuts,20,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore panipuri,60,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore parking,30,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore banana,100,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore oota,430,Travel & Trips,lifestyle
2024-09-15,06:26,Dad,Mysore vim,20,Travel & Trips,lifestyle
2024-09-16,07:02,Dad,Mysore zoo,200,Travel & Trips,lifestyle
2024-09-16,07:02,Dad,Mysore auto,60,Travel & Trips,lifestyle
2024-09-16,07:02,Dad,Mysore ball,150,Travel & Trips,lifestyle
2024-09-16,07:02,Dad,Girish Anna muyyi gift,1000,Religion & Gifts,one_time
2024-09-16,07:02,Dad,Mysore masala mandakki,100,Travel & Trips,lifestyle
2024-09-16,07:02,Dad,Mysore tonga,800,Travel & Trips,lifestyle
2024-09-16,07:02,Dad,Mysore oota,300,Travel & Trips,lifestyle
2024-09-16,07:02,Dad,Petrol,1400,Fuel,lifestyle
2024-09-16,21:49,Dad,Mysore car parking,40,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,Mysore Chamundeshwari ticket,100,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,Mysore chappal stand,10,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,Mysore Nanjangud temple ticket,300,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,Mysore kanike,800,Religion & Gifts,one_time
2024-09-16,21:49,Dad,Mysore toys,70,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,Mysore parking,30,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,Mysore hotel,350,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,Mysore ice cream,420,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,Mysore viewpoint,80,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,Mysore kanike,200,Religion & Gifts,one_time
2024-09-16,21:49,Dad,Mysore masala mandakki,50,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,Mysore car parking,40,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,Mysore kanike,450,Religion & Gifts,one_time
2024-09-16,21:49,Dad,Mysore chappal,10,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,Mysore art palace,100,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,Mysore oota,255,Travel & Trips,lifestyle
2024-09-16,21:49,Dad,Petrol,1000,Fuel,lifestyle
2024-09-17,19:18,Dad,Mysore checkout charges,717,Travel & Trips,lifestyle
2024-09-17,19:18,Dad,Mysore tips,150,Travel & Trips,lifestyle
2024-09-17,19:18,Dad,Mysore car parking,50,Travel & Trips,lifestyle
2024-09-17,19:18,Dad,Mysore palace entry,200,Travel & Trips,lifestyle
2024-09-17,19:18,Dad,Mysore majjige,60,Travel & Trips,lifestyle
2024-09-17,19:18,Dad,Mysore elephant + horse ride,1000,Travel & Trips,lifestyle
2024-09-17,19:18,Dad,Petrol,1600,Fuel,lifestyle
2024-09-17,19:18,Dad,Mysore coffee + milk,60,Travel & Trips,lifestyle
2024-09-17,19:18,Dad,Petrol,500,Fuel,lifestyle
2024-09-18,21:41,Dad,Slide for Papu,1460,Kids,one_time
2024-09-23,18:13,Dad,Bike petrol,900,Fuel,lifestyle
2024-09-23,18:13,Dad,Dry fruits,580,Groceries & Household,lifestyle
2024-09-25,13:59,Dad,Car insurance + emission test,4100,Insurance & Finance,recurring
2024-09-25,14:35,Dad,Petrol,1000,Fuel,lifestyle
2024-09-27,17:05,Dad,Internet recharge,825,Utilities & Recharges,recurring
2024-09-27,17:05,Dad,Wheel alignment,300,Vehicle Maintenance,one_time
2024-10-03,19:27,Dad,Iron laundry,230,Misc,recurring
2024-10-03,19:27,Dad,Hotel,400,Dining Out,lifestyle
2024-10-03,19:27,Dad,Bubbles toy,40,Kids,lifestyle
2024-10-04,17:21,Dad,15 inch LCD tablet,700,Kids,one_time
2024-10-06,19:30,Dad,Hoovu flowers,40,Religion & Gifts,recurring
2024-10-06,19:30,Dad,Kanike offering,100,Religion & Gifts,one_time
2024-10-06,19:30,Dad,Snacks,290,Dining Out,lifestyle
2024-10-07,18:38,Dad,Petrol,1000,Fuel,lifestyle
2024-10-08,12:43,Dad,Papu consultation + medicine,805,Health & Medical,lifestyle
2024-10-08,13:07,Dad,Juice,50,Dining Out,lifestyle
2024-10-12,14:40,Dad,Mobile recharge,800,Utilities & Recharges,recurring
2024-10-20,20:44,Dad,KrushiMela two toy guns,180,Kids,lifestyle
2024-10-21,20:37,Dad,Petrol,1000,Fuel,lifestyle
2024-10-22,15:01,Dad,Bike petrol,1000,Fuel,lifestyle
2024-10-22,15:01,Dad,Amazon Fresh groceries,1042,Groceries & Household,lifestyle
2024-10-23,19:11,Dad,Papu consultation + vaccination,5500,Health & Medical,one_time
2024-10-24,09:24,Dad,Haircut,130,Personal Care & Fitness,lifestyle
2024-10-26,13:17,Dad,Sakrebyele outing,360,Entertainment & Outings,lifestyle
2024-10-26,13:17,Dad,Lakme,365,Personal Care & Fitness,lifestyle
2024-10-27,14:26,Dad,Petrol,1000,Fuel,lifestyle
2024-10-28,15:22,Dad,Internet recharge,825,Utilities & Recharges,recurring
2024-10-29,19:01,Dad,MedPlus pharmacy,712,Health & Medical,lifestyle
2024-11-04,11:46,Dad,Hotel tindi,190,Dining Out,lifestyle
2024-11-04,14:10,Dad,Dry fruits,600,Groceries & Household,lifestyle
2024-11-09,12:26,Dad,LPG gas cylinder,816,Utilities & Recharges,recurring
2024-11-11,21:33,Dad,Bike petrol,650,Fuel,lifestyle
2024-11-11,21:33,Dad,Butterfly park ticket,180,Entertainment & Outings,lifestyle
2024-11-11,21:33,Dad,Elephant 3D photo,400,Entertainment & Outings,lifestyle
2024-11-11,21:33,Dad,Hotel,1600,Dining Out,lifestyle
2024-11-12,18:11,Dad,Car petrol,1000,Fuel,lifestyle
2024-11-14,14:25,Dad,Soap + kids books,1100,Kids,lifestyle
2024-11-16,19:03,Dad,Bangarapet chats,130,Dining Out,lifestyle
2024-11-16,19:20,Dad,Vishnu Medicals,250,Health & Medical,lifestyle
2024-11-16,19:20,Dad,Hopcoms,70,Groceries & Household,lifestyle
2024-11-16,19:20,Dad,MedPlus pharmacy,1346,Health & Medical,lifestyle
2024-11-17,22:43,Dad,Chats,350,Dining Out,lifestyle
2024-11-17,22:43,Dad,Lipika dress,1720,Clothing,lifestyle
2024-11-20,19:04,Dad,Doctor fee + file,450,Health & Medical,lifestyle
2024-11-20,19:04,Dad,Blood test,1200,Health & Medical,lifestyle
2024-11-20,19:04,Dad,Medicine,1400,Health & Medical,lifestyle
2024-11-20,19:04,Dad,Injection,600,Health & Medical,lifestyle
2024-11-20,19:04,Dad,Petrol,1050,Fuel,lifestyle
2024-11-20,19:25,Dad,FirstCry bottle + toothbrush,800,Kids,lifestyle
2024-11-23,18:06,Dad,Mobile recharge Shreyas,980,Utilities & Recharges,recurring
2024-11-23,20:40,Dad,Papu batte dress,5950,Kids,lifestyle
2024-11-23,20:41,Dad,Iron laundry,180,Misc,recurring
2024-11-23,20:41,Dad,Fancy store,150,Misc,lifestyle
2024-11-24,13:38,Dad,Duster petrol,1000,Fuel,lifestyle
2024-11-25,19:37,Dad,Floating panipuri,90,Dining Out,lifestyle
2024-11-25,19:37,Dad,Haircut,300,Personal Care & Fitness,lifestyle
2024-11-26,20:00,Dad,Bus tickets,600,Transport & Parking,lifestyle
2024-11-27,13:05,Dad,Anna Dasoha Chinmaya Deeksha,1000,Religion & Gifts,one_time
2024-11-27,14:13,Dad,Duplicate Aadhar + voter card,160,Misc,one_time
2024-11-28,09:50,Dad,Internet charges,825,Utilities & Recharges,recurring
2024-11-30,23:11,Dad,Trip bus tickets,600,Travel & Trips,lifestyle
2024-11-30,23:11,Dad,Trip auto,470,Travel & Trips,lifestyle
2024-11-30,23:11,Dad,Trip food + snacks,2010,Travel & Trips,lifestyle
2024-11-30,23:11,Dad,Trip accommodation,400,Travel & Trips,lifestyle
2024-11-30,23:11,Dad,Trip beach sea walk,300,Travel & Trips,lifestyle
2024-11-30,23:11,Dad,Trip Papu glitter ball,160,Travel & Trips,lifestyle
2024-11-30,23:11,Dad,Vinutha surprise gift,5350,Religion & Gifts,one_time
2024-11-30,23:13,Dad,ICICI term insurance,3026,Insurance & Finance,recurring
2024-11-30,23:13,Dad,Papu ICLUD brand dress,5951,Kids,lifestyle
2024-12-01,10:51,Dad,Petrol,1050,Fuel,lifestyle
2024-12-03,12:07,Dad,Petrol,1050,Fuel,lifestyle
2024-12-04,18:06,Dad,Bike petrol,500,Fuel,lifestyle
2024-12-04,19:26,Dad,Cells + chakli,125,Groceries & Household,lifestyle
2024-12-05,13:27,Dad,Louis Philippe clothes + socks,1750,Clothing,lifestyle
2024-12-05,15:04,Dad,Mandakki + bakery,235,Dining Out,lifestyle
2024-12-05,15:15,Mom,MedPlus pampers,100,Kids,recurring
2024-12-05,23:12,Mom,Aurora cosmetics,682,Personal Care & Fitness,lifestyle
2024-12-09,22:02,Dad,Pizza + hotel,1800,Dining Out,lifestyle
2024-12-11,18:10,Dad,Car petrol,1000,Fuel,lifestyle
2024-12-11,18:15,Dad,Kotak term insurance annual,16301,Insurance & Finance,recurring
2024-12-13,16:42,Dad,Moon ball,85,Kids,lifestyle
2024-12-17,11:21,Dad,Tiago 2 new tyres + balancing + valves,11350,Vehicle Maintenance,one_time
2024-12-17,12:31,Dad,Tiago window switch repair,250,Vehicle Maintenance,one_time
2024-12-17,12:31,Dad,Petrol,1050,Fuel,lifestyle
2024-12-19,11:36,Dad,Funpunch boxing bag,1600,Personal Care & Fitness,one_time
2024-12-20,09:52,Dad,Petrol,450,Fuel,lifestyle
2024-12-25,12:38,Dad,Petrol,1750,Fuel,lifestyle
2024-12-25,12:38,Dad,Bakery,440,Dining Out,lifestyle
2024-12-29,19:59,Dad,Haircut,130,Personal Care & Fitness,lifestyle
2024-12-29,19:59,Dad,Snacks,80,Dining Out,lifestyle
2024-12-31,11:48,Dad,Internet,825,Utilities & Recharges,recurring
2024-12-31,11:49,Dad,ICICI term insurance,3026,Insurance & Finance,recurring
2025-01-01,08:35,Dad,Car petrol,1050,Fuel,lifestyle
2025-01-01,10:59,Dad,Toy car + books,830,Kids,lifestyle
2025-01-02,16:34,Dad,TV,26000,Home & Furniture,one_time
2025-01-03,16:32,Dad,Shankar Eye Hospital consultation,600,Health & Medical,lifestyle
2025-01-03,16:32,Dad,Bakery,95,Dining Out,lifestyle
2025-01-03,17:54,Mom,Medicine,517,Health & Medical,lifestyle
2025-01-03,17:54,Mom,Soap,40,Groceries & Household,lifestyle
2025-01-05,20:44,Dad,Vinutha mobile recharge,200,Utilities & Recharges,recurring
2025-01-08,16:54,Dad,MedPlus pharmacy,1370,Health & Medical,lifestyle
2025-01-08,16:54,Dad,Tarakari vegetables,70,Groceries & Household,lifestyle
2025-01-08,17:51,Dad,New specs + Crizal lens + accessories,8000,Health & Medical,one_time
2025-01-11,00:05,Mom,Doctor consultation,300,Health & Medical,lifestyle
2025-01-11,00:05,Mom,Medicine,210,Health & Medical,lifestyle
2025-01-11,00:05,Mom,Iron laundry,216,Misc,recurring
2025-01-13,22:03,Dad,Degree certificate fee,200,Misc,one_time
2025-01-13,22:03,Dad,Canteen,90,Dining Out,lifestyle
2025-01-13,22:03,Dad,Petrol,500,Fuel,lifestyle
2025-01-16,17:20,Dad,Bakery,145,Dining Out,lifestyle
2025-01-16,17:20,Dad,Tomato,30,Groceries & Household,lifestyle
2025-01-16,17:20,Dad,Beach ball,195,Kids,lifestyle
2025-01-16,17:20,Dad,Nail cutter,75,Personal Care & Fitness,lifestyle
2025-01-16,17:57,Dad,Papu chappal,400,Kids,lifestyle
2025-01-21,11:46,Dad,Bike petrol,660,Fuel,lifestyle
2025-01-21,23:35,Dad,Movie,300,Entertainment & Outings,lifestyle
2025-01-21,23:35,Dad,Popcorn,210,Dining Out,lifestyle
2025-01-21,23:35,Dad,Parking,30,Transport & Parking,lifestyle
2025-01-23,09:37,Dad,Car petrol,1050,Fuel,lifestyle
2025-01-29,20:34,Dad,Jewel Rock hotel,400,Dining Out,lifestyle
2025-01-29,20:34,Dad,Vibhu salon,300,Personal Care & Fitness,lifestyle
2025-01-29,20:54,Mom,Pampers,750,Kids,recurring
2025-01-31,16:50,Dad,Sugarcane juice,50,Dining Out,lifestyle
2025-01-31,16:50,Dad,Internet,825,Utilities & Recharges,recurring
2025-02-02,16:22,Dad,Mobile recharge,799,Utilities & Recharges,recurring
2025-02-02,16:23,Dad,Tarakari vegetables,200,Groceries & Household,lifestyle
2025-02-02,16:23,Dad,Hotel,600,Dining Out,lifestyle
2025-02-02,16:23,Dad,Paneer,100,Groceries & Household,lifestyle
2025-02-02,16:23,Dad,Ration,40,Groceries & Household,lifestyle
2025-02-04,15:36,Dad,Bike petrol,550,Fuel,lifestyle
2025-02-04,15:37,Dad,Car petrol,1000,Fuel,lifestyle
2025-02-05,11:42,Dad,UGC NET exam book,360,Education,lifestyle
2025-02-05,11:42,Dad,Graphics tablet,4499,Misc,one_time
2025-02-05,11:42,Dad,USB-C OTG adapter,109,Misc,one_time
2025-02-05,11:42,Dad,Sand play tools,189,Kids,lifestyle
2025-02-05,11:42,Dad,Pencil control book,179,Kids,lifestyle
2025-02-08,11:40,Dad,Watermelon,240,Groceries & Household,lifestyle
2025-02-14,08:32,Mom,Petrol,1050,Fuel,lifestyle
2025-02-14,18:58,Dad,Bike petrol,560,Fuel,lifestyle
2025-02-17,17:37,Dad,Mobile recharge,934,Utilities & Recharges,recurring
2025-02-18,13:46,Dad,Diana pencil + calendar + scissors,125,Kids,lifestyle
2025-02-18,13:46,Dad,Juice,40,Dining Out,lifestyle
2025-02-18,14:28,Dad,Petrol,1020,Fuel,lifestyle
2025-02-18,14:28,Dad,Pampers,622,Kids,recurring
2025-02-18,14:28,Dad,Varna matching,822,Clothing,lifestyle
2025-02-18,14:30,Dad,Latha beauty parlour,70,Personal Care & Fitness,lifestyle
2025-02-18,14:30,Dad,Bat + gloves,165,Kids,lifestyle
2025-02-18,15:39,Mom,Toys,881,Kids,lifestyle
2025-02-18,19:28,Mom,Westside Papu dress,1696,Kids,lifestyle
2025-02-22,18:46,Mom,Banana,140,Groceries & Household,lifestyle
2025-02-22,18:46,Mom,Clock,250,Home & Furniture,one_time
2025-02-22,18:46,Mom,Petrol,1000,Fuel,lifestyle
2025-02-22,18:46,Mom,Snacks,90,Dining Out,lifestyle
2025-02-28,16:47,Dad,Bike petrol,710,Fuel,lifestyle
2025-02-28,16:47,Dad,ICICI term insurance,3026,Insurance & Finance,recurring
2025-02-28,16:47,Dad,Hoovu flowers,60,Religion & Gifts,recurring
2025-02-28,16:47,Dad,Curd,26,Groceries & Household,lifestyle
2025-03-01,00:15,Dad,Hambode khara,200,Dining Out,lifestyle
2025-03-01,00:15,Dad,Ice cream,800,Dining Out,lifestyle
2025-03-01,00:15,Dad,Milk,27,Groceries & Household,recurring
2025-03-01,00:16,Dad,Tomato,30,Groceries & Household,lifestyle
2025-03-01,14:30,Dad,Xerox,60,Misc,lifestyle
2025-03-01,19:53,Dad,Snacks,180,Dining Out,lifestyle
2025-03-02,21:59,Dad,Car petrol,1000,Fuel,lifestyle
2025-03-02,21:59,Dad,Mishra peda chips,200,Dining Out,lifestyle
2025-03-03,12:22,Dad,Internet,825,Utilities & Recharges,recurring
2025-03-04,09:22,Dad,Consultation fee,300,Health & Medical,lifestyle
2025-03-05,19:16,Dad,Swimming goggles,150,Personal Care & Fitness,lifestyle
2025-03-05,19:16,Dad,Swimming shorts,150,Personal Care & Fitness,lifestyle
2025-03-05,19:16,Dad,Swimming pool entry,100,Personal Care & Fitness,lifestyle
2025-03-05,19:16,Dad,Snacks,110,Dining Out,lifestyle
2025-03-05,19:16,Dad,Iron laundry,170,Misc,recurring
2025-03-05,19:16,Dad,Milk,27,Groceries & Household,recurring
2025-03-06,19:04,Dad,Tale hannu,40,Groceries & Household,lifestyle
2025-03-06,19:04,Dad,Raw mango,140,Groceries & Household,lifestyle
2025-03-06,19:04,Dad,Site advertisement,2700,Property & Investments,one_time
2025-03-07,15:36,Dad,EC encumbrance certificate,460,Property & Investments,one_time
2025-03-09,18:22,Dad,Duster petrol,500,Fuel,lifestyle
2025-03-09,18:22,Dad,Jio Hotstar IPL 3 months,150,Utilities & Recharges,recurring
2025-03-11,18:14,Dad,Juice,150,Dining Out,lifestyle
2025-03-13,19:53,Dad,Haircut,200,Personal Care & Fitness,lifestyle
2025-03-14,15:33,Dad,Bike petrol,800,Fuel,lifestyle
2025-03-18,13:03,Dad,Petrol,1000,Fuel,lifestyle
2025-03-18,13:03,Dad,Juice,115,Dining Out,lifestyle
2025-03-21,19:20,Dad,Pens,40,Misc,lifestyle
2025-03-24,21:15,Dad,Srinidhi haircut,350,Personal Care & Fitness,lifestyle
2025-03-24,21:15,Dad,Resin,1100,Misc,one_time
2025-03-24,21:15,Dad,Parking,20,Transport & Parking,lifestyle
2025-03-27,10:40,Dad,Tindi,300,Dining Out,lifestyle
